Sr,Bat,CSA,GWO,WOA,HHO,PSO
0,0.020222557592205700,0.020222557592205700,0.020222557592205700,0.020222557592205700,0.020222557592205700,0.020222557592205700
1,0.019281653687357900,0.020147289999295000,0.020222557592205700,0.016018122201785400,0.017709735315293100,0.020039961207658100
2,0.016822667326778200,0.020029241195879900,0.01793007180094720,0.016018122201785400,0.017227590666152500,0.019703760626725900
3,0.01633770833723250,0.01995892495615410,0.01734367199242120,0.016018122201785400,0.01587599329650400,0.019452839740552000
4,0.016185112297534900,0.019391532929148500,0.016765534644946500,0.016018122201785400,0.01587599329650400,0.018819244927726700
5,0.016185112297534900,0.01926447874866430,0.016765534644946500,0.016018122201785400,0.01587599329650400,0.01856552856042980
6,0.016185112297534900,0.018790227454155700,0.016765534644946500,0.016018122201785400,0.01587599329650400,0.01839025062508880
7,0.016185112297534900,0.018772347026970200,0.016765534644946500,0.016018122201785400,0.01587599329650400,0.018127980176359400
8,0.016185112297534900,0.0182076089666225,0.016756244469434000,0.016018122201785400,0.01587599329650400,0.017916701384820000
9,0.016185112297534900,0.017591168894432500,0.016756244469434000,0.016018122201785400,0.01587599329650400,0.017747547710314400
10,0.016185112297534900,0.01750725336605680,0.01580339961219580,0.016018122201785400,0.01587599329650400,0.017676041927188600
11,0.016185112297534900,0.017247687990311500,0.01580339961219580,0.016018122201785400,0.01587599329650400,0.017545297741890000
12,0.016185112297534900,0.016891574452165500,0.01580339961219580,0.016018122201785400,0.01587599329650400,0.01743705221451820
13,0.016185112297534900,0.016829811641946400,0.01580339961219580,0.016018122201785400,0.01587599329650400,0.017347759567201100
14,0.016185112297534900,0.016826868581119900,0.01580339961219580,0.016018122201785400,0.01587599329650400,0.017274662852287300
15,0.016185112297534900,0.016554997372441000,0.01580339961219580,0.016018122201785400,0.01587599329650400,0.017241253168322100
16,0.016185112297534900,0.016546079691033800,0.01580339961219580,0.016018122201785400,0.01587599329650400,0.01718519628047940
17,0.016185112297534900,0.016530252574011700,0.015686129685491300,0.016018122201785400,0.01587599329650400,0.017138002440333400
18,0.016185112297534900,0.01651273745810610,0.015686129685491300,0.016018122201785400,0.01587599329650400,0.017098230542615100
19,0.016185112297534900,0.01648245392134410,0.015686129685491300,0.0155400076717138,0.01587599329650400,0.017064750660210800
20,0.016185112297534900,0.016431234462652400,0.015660611330531500,0.0155400076717138,0.01587599329650400,0.01704948558472100
21,0.016185112297534900,0.016378503269515900,0.015660611330531500,0.0155400076717138,0.01587599329650400,0.01702338340692220
22,0.016185112297534900,0.01634568872395900,0.015660611330531500,0.0155400076717138,0.01587599329650400,0.017001172993332100
23,0.016185112297534900,0.016301293671131100,0.015660611330531500,0.0155400076717138,0.01587599329650400,0.016982224537059700
24,0.016185112297534900,0.01625639562262220,0.015660611330531500,0.0155400076717138,0.01587599329650400,0.016966031398624200
