height,angle,height_n,angle_n,Cl,Cd,obj
-5.883614063,12.64977138,0.2604681696,0.807219682,0.93976731,0.015775231,0.01678631597
19.76127914,2.720261036,0.993179404,0.6968917893,1.2757223,0.02806664,0.02200058743
18.06698866,-10.57420622,0.9447711047,0.5491754864,1.2734652,0.026950716,0.02116329209
-7.511899408,-43.47292323,0.2139457312,0.1836341864,0.94330623,0.014812143,0.01570236953
-12.18723629,-58.81863598,0.08036467733,0.01312626693,0.84121589,0.013104179,0.01557766461
-7.060900233,-7.553599223,0.2268314219,0.5827377864,0.95090323,0.015813436,0.01662991091
6.985431074,-25.44344954,0.6281551735,0.3839616718,1.149597,0.020984718,0.0182539777
-5.63682243,-36.70347212,0.2675193591,0.2588503098,0.97780127,0.015700268,0.01605670649
-11.79900497,-56.91540638,0.09145700081,0.03427326243,0.85328163,0.013220424,0.01549362313
-4.554356196,-45.58271445,0.2984469658,0.1601920616,0.97260484,0.015368864,0.01580175562
2.988287138,-3.562081573,0.5139510611,0.6270879825,1.0985757,0.020035842,0.01823801673
18.71741998,-14.389869,0.9633548565,0.5067792333,1.2812319,0.026990472,0.02106603184
-3.656117005,-59.63913039,0.3241109427,0.00400966234,0.95357711,0.01453442,0.01524199758
-14.56387845,-13.67302618,0.0124606158,0.5147441535,0.79425936,0.013028787,0.01640369337
-7.905628686,-39.75050749,0.2026963233,0.2249943612,0.92988523,0.014907325,0.01603136013
-9.886165203,-49.97522232,0.1461095656,0.1113864187,0.88973056,0.014004098,0.01573970664
16.28947765,6.406586658,0.8939850756,0.7378509629,1.2280051,0.025895573,0.02108751258
13.12240412,13.96171377,0.8034972605,0.8217968197,1.1773186,0.023758176,0.02017990372
-8.362381111,-49.85470275,0.189646254,0.1127255249,0.91223249,0.014230785,0.01559995413
13.66340999,9.565315066,0.8189545711,0.7729479452,1.193199,0.024311321,0.02037490896
